;TEAM;MATCH UP;GAME DATE;W/L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;STL;BLK;TOV;PF;+/-
618;OKC;OKC @ DEN;12/14/2018;L;240;98;37;90;41.1;7;19;36.8;17;29;58.6;19;24;43;14;9;4;13;17;-11
619;DEN;DEN vs. OKC;12/14/2018;W;240;109;42;83;50.6;11;34;32.4;14;15;93.3;12;36;48;29;8;6;20;24;11
620;POR;POR vs. TOR;12/14/2018;W;240;128;48;94;51.1;13;27;48.1;19;21;90.5;12;26;38;29;10;4;8;15;6
621;TOR;TOR @ POR;12/14/2018;L;240;122;43;78;55.1;18;31;58.1;18;21;85.7;6;31;37;20;4;4;17;21;-6
622;CLE;CLE vs. MIL;12/14/2018;L;240;102;35;87;40.2;13;36;36.1;19;21;90.5;13;37;50;24;7;2;16;24;-12
623;MIL;MIL @ CLE;12/14/2018;W;240;114;40;94;42.6;12;41;29.3;22;28;78.6;14;39;53;26;9;6;11;17;12
624;BKN;BKN vs. WAS;12/14/2018;W;240;125;44;84;52.4;11;31;35.5;26;31;83.9;9;36;45;34;5;3;10;17;7
625;WAS;WAS @ BKN;12/14/2018;L;240;118;49;90;54.4;11;29;37.9;9;16;56.3;4;22;26;30;3;3;9;24;-7
626;ATL;ATL @ BOS;12/14/2018;L;240;108;36;86;41.9;16;38;42.1;20;32;62.5;16;28;44;27;10;5;24;19;-21
627;BOS;BOS vs. ATL;12/14/2018;W;240;129;46;95;48.4;19;39;48.7;18;20;90.0;13;34;47;28;15;9;22;21;21
628;PHI;PHI vs. IND;12/14/2018;L;240;101;36;88;40.9;9;36;25.0;20;27;74.1;17;32;49;17;5;5;16;21;-12
629;IND;IND @ PHI;12/14/2018;W;240;113;42;95;44.2;8;20;40.0;21;24;87.5;11;36;47;33;7;2;7;22;12
630;CHI;CHI @ ORL;12/13/2018;L;240;91;34;71;47.9;10;18;55.6;13;20;65.0;1;32;33;18;10;4;18;23;-6
631;ORL;ORL vs. CHI;12/13/2018;W;240;97;34;82;41.5;11;33;33.3;18;23;78.3;9;34;43;23;8;6;16;16;6
632;LAL;LAL @ HOU;12/13/2018;L;240;111;43;80;53.8;10;32;31.3;15;27;55.6;7;24;31;23;9;5;13;21;-15
633;HOU;HOU vs. LAL;12/13/2018;W;240;126;42;85;49.4;15;34;44.1;27;32;84.4;15;28;43;24;8;2;14;24;15
634;PHX;PHX vs. DAL;12/13/2018;W;240;99;37;92;40.2;10;27;37.0;15;18;83.3;12;28;40;20;15;5;13;27;10
635;DAL;DAL @ PHX;12/13/2018;L;240;89;31;78;39.7;5;33;15.2;22;33;66.7;14;39;53;14;7;4;23;19;-10
636;LAC;LAC @ SAS;12/13/2018;L;240;87;30;84;35.7;10;31;32.3;17;24;70.8;13;29;42;21;4;1;17;18;-38
637;SAS;SAS vs. LAC;12/13/2018;W;240;125;48;83;57.8;10;22;45.5;19;24;79.2;8;39;47;25;10;7;11;20;38
638;NOP;NOP vs. OKC;12/12/2018;W;240;118;45;97;46.4;4;18;22.2;24;30;80.0;17;39;56;29;14;3;18;27;4
639;OKC;OKC @ NOP;12/12/2018;L;240;114;42;87;48.3;13;43;30.2;17;27;63.0;9;30;39;23;10;6;18;27;-4
640;MEM;MEM vs. POR;12/12/2018;W;240;92;34;82;41.5;8;24;33.3;16;24;66.7;9;42;51;19;9;10;13;22;9
641;POR;POR @ MEM;12/12/2018;L;240;83;32;87;36.8;6;22;27.3;13;16;81.3;4;40;44;15;11;9;14;19;-9
642;WAS;WAS vs. BOS;12/12/2018;L;265;125;46;91;50.5;12;33;36.4;21;29;72.4;8;33;41;25;7;4;15;27;-5
643;BOS;BOS @ WAS;12/12/2018;W;265;130;47;104;45.2;11;38;28.9;25;25;100;14;36;50;20;6;2;14;19;5
644;DET;DET @ CHA;12/12/2018;L;240;107;40;86;46.5;13;34;38.2;14;21;66.7;10;39;49;23;4;10;14;26;-1
645;CHA;CHA vs. DET;12/12/2018;W;240;108;35;85;41.2;9;28;32.1;29;37;78.4;6;36;42;21;7;5;7;17;1
646;MIN;MIN @ SAC;12/12/2018;L;240;130;50;93;53.8;9;22;40.9;21;27;77.8;12;27;39;30;4;4;11;24;-11
647;SAC;SAC vs. MIN;12/12/2018;W;240;141;50;86;58.1;19;38;50.0;22;32;68.8;9;29;38;34;3;6;11;21;11
648;UTA;UTA vs. MIA;12/12/2018;W;240;111;40;76;52.6;16;32;50.0;15;21;71.4;7;45;52;29;6;4;17;19;27
649;MIA;MIA @ UTA;12/12/2018;L;240;84;29;77;37.7;12;33;36.4;14;24;58.3;2;28;30;16;10;2;13;22;-27
650;MIL;MIL @ IND;12/12/2018;L;240;97;38;91;41.8;11;43;25.6;10;15;66.7;9;34;43;22;6;6;13;18;-16
651;IND;IND vs. MIL;12/12/2018;W;240;113;43;91;47.3;12;30;40.0;15;20;75.0;14;40;54;31;7;4;16;13;16
652;DAL;DAL vs. ATL;12/12/2018;W;240;114;35;75;46.7;12;34;35.3;32;43;74.4;4;32;36;22;13;5;14;16;7
653;ATL;ATL @ DAL;12/12/2018;L;240;107;43;93;46.2;11;33;33.3;10;14;71.4;16;28;44;21;7;2;21;30;-7
654;CLE;CLE vs. NYK;12/12/2018;W;240;113;43;91;47.3;10;34;29.4;17;21;81.0;12;39;51;19;7;4;13;18;7
655;NYK;NYK @ CLE;12/12/2018;L;240;106;41;94;43.6;11;27;40.7;13;14;92.9;9;34;43;21;7;7;12;18;-7
656;GSW;GSW vs. TOR;12/12/2018;L;240;93;39;82;47.6;6;26;23.1;9;13;69.2;5;35;40;28;5;11;19;18;-20
657;TOR;TOR @ GSW;12/12/2018;W;240;113;44;91;48.4;9;28;32.1;16;19;84.2;10;38;48;27;12;3;11;17;20
658;PHI;PHI vs. BKN;12/12/2018;L;240;124;50;91;54.9;12;28;42.9;12;16;75.0;10;27;37;31;11;3;17;30;-3
659;BKN;BKN @ PHI;12/12/2018;W;240;127;38;74;51.4;14;28;50.0;37;43;86.0;7;30;37;20;10;1;17;23;3
660;LAC;LAC vs. TOR;12/11/2018;L;240;99;38;86;44.2;7;25;28.0;16;19;84.2;12;32;44;25;2;5;16;16;-24
